id,pickups
26112,2
26896,0
2263,210
10453,543
19043,0
27400,3
15573,573
22462,3270
1445,1
190,0
23927,0
8738,3106
13429,163
3963,442
11423,0
20627,3
20419,3
27867,71
11917,1
21732,7240
25283,865
21866,3
15307,140
25240,40
13082,141
3799,1
27131,676
24966,4050
26929,72
16465,2686
19076,0
1584,49
12436,0
1334,0
21363,584
16283,219
5570,2
4650,2
12043,1
7472,1
27983,169
4820,42
22449,343
21808,1365
775,1689
3355,13
21665,2
23431,1811
26751,57
26985,469
9300,545
5341,67
14747,0
2639,52
16379,363
13533,1
12864,2
13501,424
5946,3
4669,178
5522,0
21987,2115
8179,9
6589,54
19920,2
25922,2726
14190,0
19006,17
22441,1056
18986,1
24123,450
5211,274
162,666
26545,569
4433,125
8572,361
23285,1
28599,5
4694,3587
25359,617
15530,1
21507,3
25102,90
28730,1
25343,68
24114,0
13286,3
28717,82
5479,0
25400,2687
23262,990
17912,0
28365,381
14252,44
26505,0
6777,0
2751,1
25553,1
15634,424
14199,0
15639,0
5700,154
21765,688
14583,227
21433,22
22990,3
11539,246
28037,4
8311,0
25507,49
9866,316
15188,1973
4347,1590
902,1
7974,1
1166,0
2010,372
27232,2685
14065,205
9573,94
24977,103
28398,3368
14375,1
14009,609
11910,320
21802,257
1010,0
6216,952
2489,543
11886,32
1967,3
16954,731
22267,76
4097,0
13212,39
21780,0
14659,43
25491,0
9818,1
23788,3
19683,0
28386,3
25732,388
25724,2851
24365,2031
15027,0
5017,4
18186,5974
8151,0
4893,5295
7328,115
25941,582
27570,2715
12360,278
24022,4
6620,1
27819,24
22415,0
18322,480
11967,119
27379,1
17531,0
8564,0
17010,0
21248,826
21242,0
24455,67
24320,4
4363,2
19147,3095
13552,533
1068,1
9809,2179
27694,576
5914,0
7904,6392
2300,33
4161,9
5416,38
13687,594
24540,179
16107,256
9420,1220
5394,0
1168,22
13752,240
17320,68
687,0
627,2
25107,6
12170,336
10210,489
11022,276
16687,6
27048,375
13577,557
6509,10
2147,1897
1417,2
16335,32
6336,1208
11177,1
10589,496
14284,0
15871,2
16121,201
9774,458
22181,0
20468,1
22643,4
11946,43
16532,4
1233,2
21214,0
4063,2366
17703,0
26781,5517
12877,0
28670,31
27591,2861
23239,19
9943,1993
20433,4
23367,138
28517,1
16499,2
10834,22
7084,3
23960,88
11600,414
465,744
18112,297
1161,29
19925,4821
22008,2097
13205,49
13960,0
19976,138
3154,238
8534,51
26626,2
26254,2
28571,10
1792,1
28325,863
16297,1571
27615,1
13067,0
21957,480
4185,0
1279,1
7957,0
177,1
16930,1
6265,200
24807,77
3107,0
20165,1
26336,7
8218,0
295,3
2542,28
18927,383
18834,0
879,151
25078,324
7001,136
5840,942
3427,46
25939,2
26795,4566
19649,17
1416,370
15869,2451
11987,412
28165,37
8605,0
23007,918
19753,390
16254,497
854,1
7215,281
9425,237
10449,299
26946,5724
11039,4
7010,10
18963,4140
28926,67
6814,1
6395,320
12236,3724
26606,4
10187,37
27490,1
5999,429
14559,2
21943,240
12628,0
19466,1688
22223,0
9971,287
26598,3772
15095,457
13981,2391
27855,0
5024,2
7852,57
7790,0
26931,0
5890,548
8097,0
25934,563
3694,1254
14895,1843
13772,0
22533,2
7691,1
18858,12
26730,56
25964,6067
6650,0
24865,125
15218,3
9498,2994
9687,449
10978,2
26478,0
17418,0
7690,259
20354,2168
11123,0
26574,2
1907,84
15681,239
2771,4
22216,0
21754,399
28370,2511
8105,328
27573,1
14090,1
23385,1
7179,180
5236,89
19358,159
7469,491
17565,351
14046,21
15859,48
19345,143
21731,0
19725,1742
27534,0
22293,2776
7206,0
24877,683
13976,7
14011,1
2253,389
23847,0
2179,240
14180,3
99,2
26643,0
21452,25
12704,709
3965,0
51,69
11107,2
10818,0
3210,2
26638,563
24563,0
14663,395
25846,0
27126,3
9033,377
23503,1
28597,7801
8714,46
25725,404
10750,0
17103,155
1570,63
4884,1226
19439,1427
24942,3
20650,0
27414,6
21199,56
22804,359
27586,4
11504,1024
12466,651
20899,612
20948,0
29092,556
21125,17
25482,3297
5309,1965
19074,42
22102,72
25699,2
11437,1
2187,0
9762,0
22466,70
11051,309
11788,477
29099,0
20831,612
20838,532
21010,2189
11777,465
18880,0
19742,79
6644,3160
8799,3
17592,2
12589,0
12662,1
26013,127
10614,531
1076,598
23030,439
13736,2
10060,133
21789,165
8347,2128
4073,1
11998,36
14078,474
17953,2505
16663,0
14243,328
7883,3294
23969,0
12892,1
10481,935
20054,63
4118,0
423,623
4295,0
5139,4
5262,1
15635,59
8578,332
16910,0
24395,0
3142,256
27632,0
8303,15
7365,32
11581,2
28246,572
26108,0
8439,82
26176,79
16796,0
21686,1
25254,75
15408,1
14669,2032
26924,0
2192,312
10402,522
6470,572
8096,1110
23376,0
12737,9
11580,2
14230,0
20636,419
7814,0
13606,2
13049,595
17095,578
21900,703
19704,0
16206,1
15183,0
25512,1
21120,0
24504,72
15591,2
17830,1
23458,0
3848,0
6642,637
298,484
3501,338
9467,232
8154,411
1702,2
24827,2
1480,1034
26042,3
16714,1
2794,759
18917,3
14397,532
10300,1
20149,0
4889,1
27165,2
19557,3
18384,148
5465,0
20742,2
6561,2
11077,195
19809,20
43,0
18788,345
25128,3
17991,0
4767,991
983,0
4983,260
11891,0
28913,630
21026,1
3632,51
8421,0
7769,648
2617,3
28371,393
18075,0
13430,1
22438,34
25835,0
22170,0
14391,0
4913,193
22718,1
21569,3
10568,17
22018,76
13827,421
6356,238
16981,40
9650,47
4551,0
13060,1
427,2
874,0
1022,19
23962,0
23949,2405
19455,597
14137,57
28556,501
29094,67
18766,0
24181,107
5952,2
21851,575
10690,0
25136,107
3035,143
10430,1
25562,429
13236,968
672,25
13588,304
29044,335
11088,303
25819,4644
12493,2843
27397,0
6662,141
11394,242
13532,1
15043,0
16238,73
16780,86
7521,0
5458,290
21427,25
26060,3331
15953,164
12754,0
17385,534
12119,24
1766,28
15720,0
22306,0
9801,333
7492,26
21327,542
27365,255
28806,21
22138,66
20954,124
4402,327
4679,380
17156,0
6732,1
14174,40
7652,249
2659,68
21674,192
25831,648
8093,462
2382,169
7666,495
5640,3002
6837,156
12225,1
7898,408
24961,0
10634,43
908,1
19446,1469
4802,564
24717,0
7751,334
22028,3333
459,0
5565,170
6752,1
15724,1
16801,22
3250,1646
2778,1
7590,4134
17674,0
29019,2
8825,1
25598,4
24134,915
3572,0
10760,1
22408,0
16543,0
27330,2227
8853,1
2669,3553
12259,681
20035,0
28017,86
4448,34
15575,4525
22868,1
13208,3504
24141,875
2755,1344
26117,532
601,1
11549,819
21809,252
12722,5
26494,55
16749,120
408,1
4880,426
13912,1
6657,1158
24411,317
5250,3
26154,4
11303,3
957,0
8502,0
15034,0
6573,215
22785,1
9719,171
12162,1438
12185,1
24773,1
27510,195
23654,3577
16782,0
23026,69
946,1060
23387,33
10661,1
7578,357
23167,1
20236,528
14544,2
12895,0
2159,0
27958,129
26871,5
7185,240
27982,767
1852,3057
28160,0
4007,0
7919,483
23771,3103
19839,208
8377,0
8102,893
6383,0
19367,1
1125,0
1988,1
16287,1
22448,1797
20616,0
13046,378
9340,77
9354,82
26189,5
15200,0
9084,8
7950,215
28671,385
6487,0
3575,0
17751,607
14332,1
19208,398
16328,39
18519,233
1885,0
2507,1
7414,0
20957,50
13874,5522
13918,1
15317,0
6034,219
16989,392
16310,0
22886,0
5302,1826
18980,51
29011,327
11701,0
26010,428
17470,0
13141,392
3462,0
8643,3904
11626,4142
4505,36
23255,647
3859,2
11719,289
9461,220
28850,2
7855,2335
19871,0
9081,913
8654,54
28822,300
4056,0
7450,2209
15446,336
27097,4
20030,2293
547,1
28330,385
18228,1
20368,2226
20164,288
25218,1
9629,42
1484,27
14933,826
17197,0
8543,0
21938,0
27054,2704
22455,2812
16327,2
5662,1
23084,590
22815,734
15268,0
10190,2667
15038,24
28433,4309
15528,218
6746,2
28251,0
18449,491
27798,2
25604,2
1924,173
18038,10
14627,0
14773,549
21595,2874
17383,0
4302,39
26130,5340
9128,325
21036,2769
25684,739
6572,2118
9256,1004
20265,5312
525,0
24573,564
5381,254
23012,1
14369,0
390,437
22418,1
18565,3
13077,0
28767,842
9688,2
29027,469
15777,248
23340,1
1123,9
1485,439
7359,445
22872,0
1956,483
16882,1
12946,583
5715,12
12118,3
1274,171
3282,30
10321,2
25033,692
5762,2
26982,468
19256,5
2846,1
20553,0
15264,2
26864,1
2847,33
7447,40
17511,0
1774,14
14002,508
23886,935
22294,415
7948,1
1156,524
3881,0
9851,5452
19272,83
14345,0
22012,418
19404,916
13987,2786
24283,580
3255,295
16957,331
1214,49
15844,3
19099,70
26729,2
6997,39
21256,0
18709,179
2791,3
18125,2868
5532,0
5738,1669
3615,304
924,0
24523,1
17929,1
22793,64
14927,729
21955,1
11076,1694
5385,0
23445,3214
5866,1
25587,0
3165,687
3400,0
9572,200
20790,14
2704,0
16530,3554
485,438
25740,3
28555,3484
19267,1
5282,400
5191,389
24556,2
5531,390
15940,350
6107,641
23397,624
17312,1
28004,348
24440,3
28204,387
27322,0
7561,54
6811,0
17181,74
27436,2
22612,0
10902,218
9323,294
9678,520
9222,0
1641,0
1347,267
20723,94
6836,16
15497,1
11097,2016
4216,268
28347,6
4088,0
4878,0
23308,413
22845,2915
18420,790
10489,0
