id,pickups
1306,232
3421,58
18809,441
677,2
23464,0
25613,83
23556,2
5200,68
15185,28
14919,58
17444,286
4013,503
16099,1192
10082,350
18676,0
21422,1205
25971,4902
21697,3235
28837,4
7604,504
26976,2
7629,540
2516,648
13590,539
29051,436
2761,0
21289,589
20826,3042
861,1
22126,458
13965,327
1724,0
21374,0
20361,2612
12875,3448
21539,2340
12100,0
7378,51
1446,16
25749,916
19590,3057
20502,2
26936,79
6131,373
12413,0
13042,54
5981,46
11941,773
9187,0
16878,781
13694,526
17899,561
8079,4938
26817,533
11601,1
2474,31
3227,180
3565,1
10583,658
24268,56
23772,490
7543,1890
7005,195
6666,1
25103,562
17013,2
28353,2
27146,2
22838,2642
27337,1466
1067,0
4208,1
23859,60
13414,116
1297,2
3719,435
1500,171
21290,138
18073,77
6307,1
16650,1458
12053,0
8053,397
13847,3604
11061,286
20639,103
9887,19
18719,657
21770,1
22475,0
310,2
4883,48
3927,49
28213,2
21843,2694
24511,52
26173,525
9380,1
992,170
2058,369
21040,1043
2124,38
14429,4
1823,357
4477,28
4864,0
7770,0
27424,811
18814,0
6567,1
5638,320
22367,0
17958,0
23757,1192
20132,1704
11965,2
6335,0
13076,297
19472,76
4287,1525
7665,55
10482,0
3058,1
12516,1
7624,163
19203,1
28169,222
14637,1
11966,13
8947,419
2298,202
6327,46
21762,0
15272,1
24874,22
6099,62
10672,422
464,38
13035,1
2512,401
12187,390
19107,0
23684,2
12181,438
14333,68
21432,1
15012,17
2441,390
2989,150
8443,0
26809,5334
23433,0
7157,2
5744,0
8180,1
13641,46
7118,0
9942,0
13886,169
5002,275
27542,2749
13747,470
9797,151
26326,0
22690,368
13240,30
5855,0
20752,897
6534,1
9708,32
14182,950
11670,18
28917,1
3931,441
26288,1
15210,2
4912,1886
21225,7
12618,65
156,4203
1549,2
26958,975
6602,50
27187,58
26886,3
19491,0
28105,3
16828,69
1575,3
14625,57
4076,0
2531,0
27727,0
1091,0
12984,29
18298,431
7832,2
735,0
23299,2
21599,36
12133,86
967,1
26516,0
18991,418
10394,0
9093,387
4658,47
16047,1
20788,101
7199,0
5568,116
5269,1
1004,0
7926,466
11570,397
29016,0
6340,1066
25550,1
28668,2
9225,1
11156,5149
12620,20
26445,96
9035,2
11014,228
16846,295
23652,1082
2979,0
24481,1
14382,19
5990,0
13537,4439
27460,0
25427,0
23422,360
12467,88
27708,359
17915,3
16406,3226
19566,81
23211,85
25303,641
4566,502
19618,530
16518,395
9096,1
17894,0
16836,826
21714,2
9230,3905
25347,473
14118,55
27588,103
13821,350
15085,323
5258,406
21008,581
3781,0
19648,1
7375,220
2421,575
10356,1
23362,897
11317,32
21796,182
17092,48
11191,0
8239,3699
15217,1
3813,1
28134,36
14992,0
19014,71
6759,3
8362,333
21972,0
8473,525
25,47
24728,814
10575,40
6762,538
4475,0
25054,224
26303,80
11082,0
14696,126
3505,13
11797,3623
4763,0
19944,720
12071,600
1909,47
8670,2619
27458,98
12105,43
19162,0
8598,148
27806,2
23230,2
12142,287
3773,677
21342,228
21466,49
6215,0
21573,0
15868,0
16063,0
10971,1
17521,1
27215,70
9626,2029
25619,1
8537,3267
13991,38
22854,2
24075,940
25597,1
7364,1
18438,65
18397,2
9701,1
16977,1687
12679,1504
6819,2489
236,43
10632,2
14344,337
9817,331
18380,19
14859,190
14251,2
2013,465
4009,361
10320,351
24748,0
20477,234
5735,30
3363,190
14553,68
8479,31
13895,304
14522,0
11213,460
8915,17
2566,0
18361,0
16571,2397
15284,1
4443,0
8955,0
22457,1
4400,0
6677,0
4203,422
14629,384
3901,0
2552,585
13968,221
17610,0
26671,813
1714,0
6996,0
6273,1
27041,297
18180,422
16535,709
23636,2
1064,0
8909,372
18532,82
9655,1
16534,58
2130,1
14537,0
24012,3868
28541,2226
9197,1
20229,449
2510,0
10451,1
385,0
16371,2340
5814,3988
5420,199
9742,614
25076,0
4202,53
12403,2
25064,315
21702,877
17047,149
11301,431
666,217
27457,5
6074,442
10139,1
19554,0
4860,3
11206,401
28712,640
24685,2
11712,1731
15975,3
16109,1
8637,312
15558,1
211,520
28831,103
20049,0
22648,1973
14778,105
25814,554
19091,363
15752,4
15511,1
2868,200
25657,4124
24414,100
8342,1
26302,1
24822,871
14134,2379
14767,0
5724,371
27342,365
28610,0
2878,16
24447,3
2369,0
21377,2
16728,2
1763,101
25935,0
2182,57
14434,180
13478,0
22943,2
26211,0
5958,233
13311,2077
25606,74
29014,66
17071,2874
1255,921
10051,0
1705,0
12251,0
9889,0
19290,439
26304,783
9612,0
11702,1
25677,0
18126,281
22505,1
2583,640
23986,4
22711,538
16277,0
14490,0
14044,1
27142,968
3230,122
7294,0
26994,292
23204,118
24469,57
27235,2
10275,397
114,459
18770,2
9422,1
16259,0
27616,65
2226,1
20506,2986
18411,1
24743,481
25029,2874
8509,0
25398,636
5971,2915
24155,715
7693,32
26977,3
21531,0
8962,0
15089,3
16432,0
18284,397
13223,507
10376,0
10153,25
13102,0
2638,1
19428,517
24286,339
19929,74
9965,3
28920,979
1418,42
27377,2813
17994,1
13815,2
5652,0
13643,0
10773,43
16540,2
26932,3371
16853,306
2764,1
22422,444
458,820
25860,208
12024,1
5414,128
24799,2
3333,525
17814,0
23850,0
17195,92
13632,1
28970,0
16142,3
27637,767
3187,196
21189,337
14410,48
17566,106
1359,394
8783,137
471,45
18331,63
5019,46
24740,675
14523,763
26776,4
25931,3
1884,730
6064,461
633,1
27463,2
28265,0
13754,557
4923,131
14768,2606
20104,0
15895,766
19454,2377
7234,337
23810,74
11459,60
18567,45
9645,0
12335,2
14918,1
15731,3
27954,4347
27011,0
8983,2158
14126,343
4810,2191
6877,467
2283,1824
16985,428
10409,326
14286,50
4365,377
5144,296
28773,81
9525,555
27852,4
14141,331
25459,813
26089,310
9526,1
7468,0
12158,1
27592,519
19586,2
4012,79
6629,465
1680,2403
9861,1
11208,522
18638,6
21598,1
27429,2
18739,42
27792,0
25726,3
17424,0
27158,101
16228,488
1140,103
1470,23
2320,50
11471,1
1728,2
18547,335
20935,5612
26589,65
26710,71
5160,45
28820,0
19080,66
5008,2817
28361,66
10428,1970
18748,1896
5823,0
15522,244
1731,0
22503,2186
10254,35
21771,21
411,0
24548,802
9919,56
24809,0
9912,3
4529,2141
15035,3185
18777,2
18741,0
5995,53
19292,1
11675,0
23176,82
23444,0
18157,0
23316,0
28603,0
3403,0
27794,1342
3257,2370
4167,2798
25513,173
28707,2726
26942,3
3304,0
23728,55
28569,3482
2287,30
25021,0
28901,0
17352,374
15910,0
20039,2
13073,547
17961,3
3239,1
6604,0
6426,0
1821,2
27764,440
21261,29
6325,1
20833,1472
13128,0
19973,189
5340,3
10852,1
9611,510
15425,0
1837,0
13511,4
16829,440
12345,1631
24147,95
19596,0
23603,6
2155,1
24120,848
20849,3
5696,55
10775,0
11081,340
13580,1
13996,0
6175,1
6106,33
23106,286
27078,111
15335,3
9547,3
13714,2377
12765,2
5215,526
4401,4017
26909,609
8451,19
8820,32
25141,1
23405,1
28226,4
21001,679
1458,15
12923,248
5150,2255
13298,340
928,3
4759,287
17633,3
3696,2
4077,3694
28914,0
17763,1
14425,377
26661,22
15406,433
13610,0
22893,0
20939,173
4677,1
28487,825
12799,425
23142,61
15020,0
8530,3095
2619,45
4654,1402
1782,0
12319,160
17372,417
16050,0
7276,474
21258,375
15368,2
7177,1
19708,1
26090,0
7397,3
11439,628
24020,428
4605,15
20928,5237
11058,0
13761,219
4503,2
14203,0
23257,0
19030,539
25805,0
18053,143
12739,778
22010,6
19897,3011
3671,0
24939,2428
14626,743
18615,0
26681,1
14210,763
15159,125
18658,565
17919,0
18818,6
722,1986
984,362
1555,0
18151,0
17469,405
14514,17
22139,683
22911,0
19263,2
1218,298
22592,333
23109,103
13679,3927
24061,388
19114,4110
22728,839
19763,1181
10018,0
14800,4663
6816,24
7155,419
18015,1
19484,0
4674,0
21675,320
23334,3
19755,3
12116,339
21411,493
63,166
15714,2556
1585,1159
24552,100
9739,19
21111,1
787,0
6983,1
8344,45
9350,3981
27869,0
23065,246
28992,2
25763,618
19353,1
16140,188
1799,1
26155,85
2435,0
27730,1
17793,0
18941,813
20411,479
28563,431
26461,0
20585,1
16855,1
20201,64
8168,530
2555,4
8468,457
15899,1
27873,2
15855,2166
22615,1
6770,0
12014,0
27833,230
28280,3683
27793,129
26362,162
20399,1
2840,98
25401,387
24436,478
14160,2
28450,1
17428,0
11606,413
13864,36
25691,61
22173,977
25574,0
27184,243
630,0
6443,50
2804,0
16410,73
1075,42
388,1
20083,651
8217,559
5404,19
22026,661
26340,0
20748,539
2177,0
2475,312
24594,0
21751,429
9388,2
26510,813
20797,106
26250,0
15004,128
17380,2
8210,689
