id,pickup_dt,borough,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
9300,2015-02-28 11:00:00,Brooklyn,5.0,10.0,14.0,-4.0,1041.0,0.0,0.0,0.0,11.0,N
5341,2015-02-03 19:00:00,Bronx,7.0,8.0,23.0,11.0,1024.2,0.0,0.4516666666666671,0.423,7.58333333333333,N
14747,2015-04-03 13:00:00,EWR,8.5,10.0,62.0,44.0,1010.3,0.0,0.0,0.0,0.0,N
2639,2015-01-17 17:00:00,Bronx,6.0,10.0,24.0,1.0,1028.3,0.0,0.0,0.0,0.0,N
16379,2015-04-13 19:00:00,Queens,6.0,10.0,65.0,40.0,1023.9,0.0,0.0,0.143333333333333,0.0,N
13533,2015-03-26 21:00:00,,4.0,3.25,55.0,52.0,1004.0,0.0,0.0,0.02,0.0,N
12864,2015-03-22 16:00:00,,10.0,10.0,38.0,10.0,1018.3,0.0,0.0,0.02,0.0,N
13501,2015-03-26 17:00:00,Brooklyn,0.0,1.9333333333333302,49.0,46.6666666666667,1010.2,0.02,0.0,0.0,0.0,N
5946,2015-02-07 13:00:00,,0.0,10.0,29.0,12.0,1020.9,0.0,0.0,0.0,8.0,N
4669,2015-01-30 13:00:00,Queens,8.0,4.75,32.0,25.0,1010.5,0.0,0.0,0.0,6.33333333333333,N
5522,2015-02-04 22:00:00,Staten Island,0.0,7.0,39.0,25.0,1017.1,0.0,0.0,0.22133333333333302,8.0,N
21987,2015-05-18 11:00:00,Manhattan,9.33333333333333,2.6,62.0,57.3333333333333,1020.7,0.0,0.0,0.0,0.0,N
8179,2015-02-21 12:00:00,Staten Island,5.0,10.0,17.0,-3.0,1032.8,0.0,0.0,0.0,9.0,N
6589,2015-02-11 15:00:00,Bronx,11.0,10.0,26.0,10.0,1018.6,0.0,0.0,0.09,8.0,N
19920,2015-05-05 18:00:00,Staten Island,6.0,10.0,80.0,53.0,1022.3,0.0,0.0,0.0,0.0,N
25922,2015-06-11 13:00:00,Manhattan,6.0,6.0,75.0,63.0,1012.1,0.0,0.0,0.4183333333333329,0.0,N
14190,2015-03-31 00:00:00,EWR,7.0,10.0,51.0,21.0,1008.8,0.0,0.0,0.05,0.0,N
19006,2015-04-30 03:00:00,Bronx,11.0,10.0,53.0,42.0,1006.2,0.0,0.0,0.05,0.0,N
22441,2015-05-21 06:00:00,Manhattan,6.0,10.0,54.0,33.0,1015.5,0.0,0.0533333333333333,0.0,0.0,N
18986,2015-04-29 23:00:00,,7.0,10.0,72.0,37.0,1003.2,0.0,0.0,0.05,0.0,N
24123,2015-05-31 12:00:00,Queens,0.0,10.0,72.0,63.0,1017.8,0.0,0.0,0.0,0.0,N
5211,2015-02-02 23:00:00,Queens,7.0,8.0,23.0,17.0,1001.4,0.0,0.0,0.0,6.75,N
162,2015-01-02 01:00:00,Manhattan,7.0,10.0,38.0,15.0,1015.4,0.0,0.0,0.0,0.0,N
26545,2015-06-15 08:00:00,Queens,3.8,3.36,67.8,64.8,1015.1,0.035,0.0,0.105833333333333,0.0,N
4433,2015-01-29 02:00:00,Brooklyn,7.0,10.0,28.0,1.0,1023.7,0.0,0.0,0.27916666666666695,8.0,N
8572,2015-02-23 22:00:00,Queens,11.0,10.0,19.0,-8.0,1025.4,0.0,0.21333333333333301,0.0,12.291666666666698,N
23285,2015-05-26 09:00:00,Staten Island,6.0,10.0,68.0,53.0,1022.1,0.0,0.0,0.0,0.0,N
28599,2015-06-27 21:00:00,Staten Island,8.0,3.5,61.5,56.0,1017.0,0.045,0.0,0.0,0.0,N
4694,2015-01-30 17:00:00,Manhattan,14.0,10.0,36.3333333333333,24.0,1010.6,0.0,0.0,0.0,6.5,N
25359,2015-06-08 02:00:00,Manhattan,7.0,10.0,64.0,46.0,1019.4,0.0,0.05,0.0,0.0,N
15530,2015-04-08 12:00:00,,10.0,10.0,41.0,32.0,1027.4,0.0,0.0,0.15,0.0,N
21507,2015-05-15 13:00:00,,5.0,10.0,60.0,40.0,1027.1,0.0,0.0,0.0,0.0,N
25102,2015-06-06 13:00:00,Bronx,2.0,2.575,63.0,61.5,1011.9,0.0,0.155,0.08,0.0,N
28730,2015-06-28 16:00:00,,2.6666666666666696,1.9333333333333302,64.6666666666667,60.6666666666667,1005.0,0.0,0.0,0.0,0.0,N
25343,2015-06-08 00:00:00,Bronx,7.0,10.0,65.0,45.0,1019.7,0.0,0.0066666666666666706,0.0,0.0,N
24114,2015-05-31 11:00:00,EWR,0.0,10.0,71.0,62.0,1017.8,0.0,0.0,0.0,0.0,N
13286,2015-03-25 08:00:00,,0.0,10.0,36.0,16.0,1028.7,0.0,0.0,0.163333333333333,0.0,N
28717,2015-06-28 15:00:00,Bronx,2.0,3.3333333333333304,64.0,60.6666666666667,1004.4,0.0,0.0,0.0,0.0,N
5479,2015-02-04 16:00:00,EWR,0.0,9.1,36.0,23.0,1023.2,0.0,0.0,0.751333333333333,8.0,N
25400,2015-06-08 08:00:00,Manhattan,3.0,10.0,63.0,53.0,1017.9,0.0,0.17,0.0,0.0,N
23262,2015-05-26 06:00:00,Manhattan,8.0,10.0,71.0,53.0,1021.8,0.0,0.0,0.01,0.0,N
17912,2015-04-23 08:00:00,EWR,7.0,10.0,42.0,29.0,1005.6,0.0,0.0,0.0,0.0,N
28365,2015-06-26 11:00:00,Queens,5.0,10.0,72.0,57.0,1013.8,0.0,0.0,0.1025,0.0,N
14252,2015-03-31 10:00:00,Bronx,5.0,10.0,41.0,26.0,1011.0,0.0,0.0,0.05,0.0,N
26505,2015-06-15 02:00:00,Staten Island,3.0,10.0,72.0,58.0,1017.5,0.0,0.0,0.105833333333333,0.0,N
6777,2015-02-12 19:00:00,EWR,3.0,6.0,38.0,26.0,1005.6,0.0,0.0,0.01,8.0,Y
2751,2015-01-18 09:00:00,,5.0,10.0,34.0,25.0,1020.9,0.0,0.0,0.0,0.0,N
25553,2015-06-09 07:00:00,EWR,3.0,7.0,69.0,65.0,1007.1,0.0,0.0,0.0,0.0,N
15634,2015-04-09 04:00:00,Manhattan,13.0,5.0,37.0,34.0,1023.5,0.0,0.0,0.0,0.0,N
14199,2015-03-31 01:00:00,Staten Island,3.0,10.0,50.0,22.0,1009.7,0.0,0.0,0.05,0.0,N
15639,2015-04-09 05:00:00,EWR,10.0,5.0,38.0,35.0,1024.1,0.0,0.0,0.0,0.0,N
5700,2015-02-06 01:00:00,Queens,9.0,10.0,19.0,-6.0,1021.9,0.0,0.0,0.0,8.0,N
21765,2015-05-17 03:00:00,Brooklyn,2.5,5.0,67.5,64.0,1021.1,0.1,0.0,0.0,0.0,N
14583,2015-04-02 12:00:00,Queens,5.0,10.0,46.0,22.0,1024.6,0.0,0.0,0.02,0.0,N
21433,2015-05-15 03:00:00,Bronx,6.0,10.0,62.0,35.0,1026.2,0.0,0.0,0.0,0.0,N
22990,2015-05-24 14:00:00,Staten Island,6.5,10.0,67.0,43.0,1027.9,0.0,0.0,0.0833333333333333,0.0,N
11539,2015-03-14 09:00:00,Queens,0.0,7.0,41.0,36.0,1023.7,0.05,0.0,0.0,1.8333333333333302,N
28037,2015-06-24 10:00:00,,6.0,10.0,68.0,54.0,1014.7,0.0,0.0,0.0,0.0,N
8311,2015-02-22 08:00:00,EWR,5.0,4.0,33.0,29.0,1020.2,0.0,0.0,0.0,9.5,N
25507,2015-06-09 00:00:00,Bronx,6.0,9.1,72.0,60.0,1008.4,0.0,0.0,0.0,0.0,N
9866,2015-03-03 23:00:00,Queens,6.8,2.0833333333333304,29.8333333333333,24.1666666666667,1020.6,0.0625,0.29166666666666696,0.0,14.25,N
15188,2015-04-06 08:00:00,Manhattan,0.0,10.0,45.0,33.0,1025.3,0.0,0.0,0.111666666666667,0.0,N
4347,2015-01-28 13:00:00,Manhattan,7.0,10.0,18.0,-2.0,1015.7,0.0,0.0325,0.640833333333333,8.0,N
902,2015-01-06 17:00:00,,6.66666666666667,0.766666666666667,20.0,12.0,1024.0,0.0066666666666666706,0.025,0.0316666666666667,0.0,N
7974,2015-02-20 05:00:00,,8.0,10.0,8.0,-13.0,1016.3,0.0,0.0,0.0,9.0,N
1166,2015-01-08 09:00:00,Staten Island,10.0,10.0,8.0,-9.0,1026.9,0.0,0.0,0.0,0.833333333333333,N
2010,2015-01-13 17:00:00,Brooklyn,10.0,10.0,24.0,5.0,1035.1,0.0,0.01,0.28916666666666696,0.0,N
27232,2015-06-19 13:00:00,Manhattan,0.0,8.0,73.0,65.0,1012.1,0.0,0.0,0.06,0.0,N
14065,2015-03-30 05:00:00,Brooklyn,6.0,10.0,40.0,11.0,1019.6,0.0,0.01,0.0,0.0,N
9573,2015-03-02 03:00:00,Queens,1.5,5.0,27.5,23.0,1023.2,0.0,0.0,0.08,10.0833333333333,N
24977,2015-06-05 19:00:00,Bronx,5.0,4.5,63.0,58.0,1016.9,0.0,0.01,0.08,0.0,N
28398,2015-06-26 16:00:00,Manhattan,11.0,10.0,74.0,55.0,1015.4,0.0,0.0,0.105,0.0,N
14375,2015-04-01 04:00:00,Staten Island,3.0,10.0,35.0,32.0,1009.4,0.005,0.0,0.27583333333333304,0.0,N
14009,2015-03-29 20:00:00,Queens,8.0,10.0,44.0,3.0,1021.9,0.0,0.0,0.0,0.0,N
11910,2015-03-16 17:00:00,Queens,0.0,10.0,42.0,23.0,1013.9,0.0,0.0,0.0,0.0,N
21802,2015-05-17 08:00:00,Queens,0.0,3.1666666666666696,67.0,64.0,1019.1,0.01,0.0,0.0,0.0,N
1010,2015-01-07 10:00:00,EWR,9.0,10.0,22.0,10.0,1013.4,0.0,0.0,0.0,0.208333333333333,N
6216,2015-02-09 06:00:00,Manhattan,8.0,10.0,28.0,22.0,1013.9,0.0,0.0,0.0,8.0,N
2489,2015-01-16 18:00:00,Brooklyn,11.0,10.0,42.0,15.0,1009.2,0.0,0.0,0.0,0.0,N
11886,2015-03-16 14:00:00,Bronx,6.0,10.0,38.0,23.0,1016.2,0.0,0.0,0.0,0.0,N
1967,2015-01-13 10:00:00,Staten Island,7.0,10.0,35.0,23.0,1027.9,0.0,0.10416666666666699,0.309166666666667,0.0,N
16954,2015-04-17 09:00:00,Brooklyn,7.0,6.0,56.0,47.0,1020.4,0.03,0.0,0.08,0.0,N
22267,2015-05-20 04:00:00,Queens,7.0,10.0,71.0,55.0,1010.1,0.0,0.0,0.0,0.0,N
4097,2015-01-26 21:00:00,Staten Island,11.0,0.0,24.0,20.0,1010.3,0.15,0.0,0.0,2.0,N
13212,2015-03-24 22:00:00,Bronx,3.0,10.0,44.0,10.0,1026.0,0.0,0.0,0.0,0.0,N
21780,2015-05-17 05:00:00,EWR,1.0,1.6666666666666698,64.6666666666667,62.0,1020.9,0.015,0.0,0.3,0.0,N
14659,2015-04-03 00:00:00,Bronx,6.0,10.0,59.0,32.0,1014.8,0.0,0.0,0.0,0.0,N
25491,2015-06-08 21:00:00,Staten Island,9.0,10.0,76.0,61.0,1009.3,0.0,0.0,0.0,0.0,N
9818,2015-03-03 16:00:00,Staten Island,6.0,10.0,30.0,8.0,1029.5,0.0,0.0,0.0,14.541666666666698,N
23788,2015-05-29 11:00:00,,6.0,10.0,66.0,53.0,1025.8,0.0,0.0,0.0,0.0,N
19683,2015-05-04 07:00:00,EWR,5.0,10.0,57.0,47.0,1021.2,0.0,0.0,0.0,0.0,N
28386,2015-06-26 14:00:00,Staten Island,13.0,10.0,73.0,58.0,1014.3,0.0,0.0,0.1025,0.0,N
25732,2015-06-10 09:00:00,Queens,3.0,10.0,67.0,56.0,1010.4,0.0,0.0,1.17833333333333,0.0,N
25724,2015-06-10 08:00:00,Manhattan,0.0,10.0,68.0,56.0,1009.7,0.0,0.0,1.04833333333333,0.0,N
24365,2015-06-02 00:00:00,Manhattan,8.0,6.0,55.0,52.0,1019.6,0.02,0.01,0.0,0.0,N
15027,2015-04-05 08:00:00,EWR,5.0,10.0,43.0,18.0,1021.0,0.0,0.0,0.0,0.0,N
5017,2015-02-01 18:00:00,Staten Island,5.0,10.0,36.0,17.0,1021.3,0.0,0.0,0.005,6.45833333333333,N
18186,2015-04-25 00:00:00,Manhattan,6.0,10.0,44.0,19.0,1012.4,0.0,0.5675,0.0,0.0,N
8151,2015-02-21 08:00:00,Staten Island,4.0,10.0,15.0,-8.0,1032.5,0.0,0.0,0.0,9.0,N
4893,2015-01-31 23:00:00,Manhattan,7.0,10.0,24.0,1.0,1020.3,0.0,0.0,0.06,7.0,N
7328,2015-02-16 05:00:00,Queens,15.0,10.0,4.0,-13.0,1018.8,0.0,0.0,0.0,8.5,Y
25941,2015-06-11 16:00:00,Brooklyn,9.0,6.0,84.0,64.0,1012.0,0.0,0.0,0.355,0.0,N
27570,2015-06-21 14:00:00,Manhattan,4.0,7.55,76.0,72.0,1005.6,0.0,0.005,0.0,0.0,N
12360,2015-03-19 13:00:00,Queens,8.0,10.0,30.0,8.0,1026.8,0.0,0.0,0.56,0.0,N
24022,2015-05-30 21:00:00,,9.0,10.0,79.0,61.0,1018.2,0.0,0.0,0.0,0.0,N
6620,2015-02-11 19:00:00,Staten Island,6.0,10.0,32.0,9.0,1016.0,0.0,0.0,0.09,8.0,N
27819,2015-06-23 03:00:00,Bronx,6.0,10.0,82.0,59.0,1015.1,0.0,0.0,0.0,0.0,N
22415,2015-05-21 02:00:00,EWR,5.0,10.0,57.0,35.0,1016.0,0.0,0.03,0.0,0.0,N
